,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
187,8,qtls_li_hq,0.005,Connectedness,0.6422390888691173,0.05995562987861232,10003,107.02139739990234,105
188,9,qtls_li_hq,0.005,Connectedness,0.6448906340102234,0.0662511819463542,10002,103.576708984375,103
189,10,qtls_li_hq,0.01,Connectedness,0.6331604133042374,0.06729283960321089,10002,203.98063049316406,195
190,11,qtls_li_hq,0.01,Connectedness,0.6545391657723072,0.06201530528762353,10003,215.90685119628907,205
191,12,qtls_li_hq,0.01,Connectedness,0.6306738575904403,0.07328027597607642,10004,235.6652374267578,213
192,13,qtls_li_hq,0.025,Connectedness,0.6692565588946502,0.06341835169930903,10002,539.6463134765625,481
193,14,qtls_li_hq,0.025,Connectedness,0.6813929526111924,0.05856402706084292,10003,518.1136779785156,466
194,15,qtls_li_hq,0.025,Connectedness,0.709255892952061,0.05683379158161504,10002,532.0331420898438,498
195,16,qtls_li_hq,0.05,Connectedness,0.7290615246303558,0.053278543029044854,10005,1122.47822265625,1036
196,17,qtls_li_hq,0.05,Connectedness,0.6908086000320409,0.05974895774558659,10005,1126.6101806640625,1018
197,18,qtls_li_hq,0.05,Connectedness,0.7188528746407928,0.05562950719078587,10004,1190.572119140625,1044
198,19,qtls_li_hq,0.075,Connectedness,0.7066396416233924,0.05682373392491902,10003,1658.9006591796874,1488
199,20,qtls_li_hq,0.075,Connectedness,0.7178662108403251,0.057180253588627564,10002,1570.8443115234375,1436
200,21,qtls_li_hq,0.075,Connectedness,0.7016633666355216,0.0580164645060034,10004,1707.7012451171875,1509
201,22,qtls_li_hq,0.1,Connectedness,0.7302903466424222,0.052533155446908196,10001,2247.2940673828125,1989
202,23,qtls_li_hq,0.1,Connectedness,0.7196465928037652,0.05594139519607991,10004,2199.1450439453124,1945
203,24,qtls_li_hq,0.1,Connectedness,0.7229203101418872,0.05617595255979843,10001,2260.179931640625,1998
204,25,qtls_li_hq,0.125,Connectedness,0.7332401309419544,0.053604925331505154,10004,2825.238818359375,2450
205,26,qtls_li_hq,0.125,Connectedness,0.7493957770690909,0.053602351826562866,10002,2806.780810546875,2501
206,27,qtls_li_hq,0.125,Connectedness,0.7226454110088677,0.05738423106616564,10003,2742.498046875,2452
207,28,qtls_li_hq,0.15,Connectedness,0.7379760815327303,0.0554036224920187,10002,3307.382470703125,2907
208,29,qtls_li_hq,0.15,Connectedness,0.7423538379634346,0.0513145095545347,10002,3298.644189453125,2902
209,30,qtls_li_hq,0.15,Connectedness,0.738031509393212,0.05247712159291548,10005,3331.813330078125,2938
210,31,qtls_li_hq,0.175,Connectedness,0.7464742174596715,0.051064582749193864,10003,3937.195166015625,3414
211,32,qtls_li_hq,0.175,Connectedness,0.7392823416810028,0.052064743729617884,10003,3896.762646484375,3468
212,33,qtls_li_hq,0.175,Connectedness,0.7363611313561773,0.051919352825761274,10003,3992.66767578125,3509
213,34,qtls_li_hq,0.2,Connectedness,0.7394708704143165,0.05305609475018528,10003,4504.80634765625,3990
214,35,qtls_li_hq,0.2,Connectedness,0.746480559670084,0.05213752258524361,10000,4561.303125,4002
215,36,qtls_li_hq,0.2,Connectedness,0.7451526689947676,0.05361283130786609,10004,4465.73896484375,3948
216,37,qtls_li_hq,0.25,Connectedness,0.735492440081419,0.053931316953268645,10002,5537.03466796875,4939
217,38,qtls_li_hq,0.25,Connectedness,0.7485999552216126,0.05280000989868192,10002,5562.9859375,4894
218,39,qtls_li_hq,0.25,Connectedness,0.7479062809668834,0.05223045793765713,10004,5665.7072265625,4975
219,40,qtls_li_hq,0.3,Connectedness,0.7423809152961386,0.053810434061950185,10002,6731.47705078125,5903
220,41,qtls_li_hq,0.3,Connectedness,0.7505441405089033,0.052437954499679945,10002,6694.87978515625,5904
221,42,qtls_li_hq,0.3,Connectedness,0.7532170774166286,0.05222713105450565,10003,6868.31435546875,6002
